month,estimate_pct,low_pct,high_pct,mtgtop8_amulet_decks,mtgtop8_total_decks,method
2013-09,0.37,0.0,3.54,1,268,MTGTop8 share; range from source gap over 18 months within 24 months
2013-10,1.67,0.0,4.82,4,240,MTGTop8 share; range from source gap over 19 months within 24 months
2013-12,0.5,0.0,3.67,1,199,MTGTop8 share; range from source gap over 21 months within 24 months
2014-01,0.86,0.0,3.99,3,347,MTGTop8 share; range from source gap over 22 months within 24 months
2014-06,1.04,0.0,3.92,6,577,MTGTop8 share; range from source gap over 26 months within 24 months
2014-08,1.63,0.0,4.46,8,492,MTGTop8 share; range from source gap over 27 months within 24 months
2014-09,3.8,0.97,6.63,6,158,MTGTop8 share; range from source gap over 27 months within 24 months
2016-02,0.0,0.0,2.85,0,590,MTGTop8 share; range from source gap over 26 months within 24 months
2016-08,0.21,0.0,3.21,1,471,MTGTop8 share; range from source gap over 22 months within 24 months
2016-09,0.73,0.0,3.73,4,549,MTGTop8 share; range from source gap over 22 months within 24 months
2016-10,0.45,0.0,3.38,2,446,MTGTop8 share; range from source gap over 23 months within 24 months
2016-11,0.63,0.0,3.53,3,476,MTGTop8 share; range from source gap over 23 months within 24 months
2016-12,1.08,0.0,3.99,4,369,MTGTop8 share; range from source gap over 23 months within 24 months
2017-01,2.74,0.0,5.63,14,511,MTGTop8 share; range from source gap over 22 months within 24 months
2017-02,0.36,0.0,2.96,2,563,MTGTop8 share; range from source gap over 22 months within 24 months
2017-03,0.62,0.0,3.08,3,480,MTGTop8 share; range from source gap over 22 months within 24 months
2017-04,0.89,0.0,3.11,5,562,MTGTop8 share; range from source gap over 22 months within 24 months
2017-05,0.33,0.0,2.55,2,605,MTGTop8 share; range from source gap over 22 months within 24 months
2017-06,0.77,0.0,2.72,4,518,MTGTop8 share; range from source gap over 21 months within 24 months
2017-07,1.08,0.0,3.07,7,650,MTGTop8 share; range from source gap over 20 months within 24 months
2017-08,0.85,0.0,2.76,4,468,MTGTop8 share; range from source gap over 20 months within 24 months
2017-09,1.01,0.0,2.84,4,397,MTGTop8 share; range from source gap over 20 months within 24 months
2017-10,0.0,0.0,1.88,0,418,MTGTop8 share; range from source gap over 20 months within 24 months
2017-11,1.45,0.0,3.23,6,413,MTGTop8 share; range from source gap over 20 months within 24 months
2017-12,1.0,0.0,2.47,4,401,MTGTop8 share; range from source gap over 20 months within 24 months
2018-01,0.42,0.0,1.91,2,474,MTGTop8 share; range from source gap over 19 months within 24 months
2018-02,1.03,0.0,4.4,6,582,MTGTop8 share; range from source gap over 19 months within 24 months
2018-03,1.1,0.0,4.47,6,547,MTGTop8 share; range from source gap over 19 months within 24 months
2018-04,1.63,0.0,5.11,8,491,MTGTop8 share; range from source gap over 19 months within 24 months
2018-06,1.1,0.0,4.68,5,456,MTGTop8 share; range from source gap over 18 months within 24 months
2018-07,1.1,0.0,4.79,6,546,MTGTop8 share; range from source gap over 17 months within 24 months
2018-08,0.81,0.0,4.54,6,739,MTGTop8 share; range from source gap over 17 months within 24 months
2018-09,1.48,0.0,5.14,13,876,MTGTop8 share; range from source gap over 18 months within 24 months
2019-01,4.51,1.03,7.99,19,421,MTGTop8 share; range from source gap over 20 months within 24 months
2019-06,1.68,0.0,5.09,12,713,MTGTop8 share; range from source gap over 22 months within 24 months
2019-07,0.9,0.0,4.26,7,778,MTGTop8 share; range from source gap over 23 months within 24 months
